image,x,y
image_007.png,281,388
image_007.png,415,314
image_007.png,255,118
image_007.png,254,20
image_007.png,348,353
image_007.png,376,90
image_007.png,476,71
image_007.png,279,19
image_007.png,309,294
image_007.png,48,335
image_007.png,449,242
image_007.png,139,200
image_007.png,238,173
image_007.png,456,200
image_007.png,493,431
image_007.png,433,47
image_007.png,389,282
image_007.png,493,185
image_007.png,41,405
image_007.png,26,392
image_007.png,132,108
image_007.png,324,84
image_007.png,248,348
image_007.png,491,117
image_007.png,137,398
image_007.png,316,316
image_007.png,373,64
image_007.png,302,19
image_007.png,300,352
image_007.png,198,209
image_007.png,107,44
image_007.png,431,327
image_007.png,384,97
image_007.png,422,322
image_007.png,302,31
image_018.png,64,182
image_018.png,151,353
image_018.png,255,275
image_018.png,29,118
image_018.png,312,34
image_018.png,160,490
image_018.png,76,397
image_018.png,173,67
image_018.png,388,226
image_018.png,200,278
image_018.png,262,292
image_018.png,418,187
image_018.png,447,385
image_018.png,447,166
image_018.png,299,213
image_018.png,219,154
image_018.png,416,491
image_018.png,431,359
image_018.png,51,229
image_018.png,130,229
image_018.png,274,46
image_018.png,164,387
image_018.png,176,404
image_018.png,267,330
image_018.png,267,105
image_018.png,184,185
image_018.png,425,336
image_018.png,126,58
image_018.png,107,94
image_018.png,395,394
image_018.png,96,493
image_018.png,258,243
image_018.png,395,302
image_018.png,479,457
image_018.png,262,304
image_018.png,176,192
image_018.png,258,304
image_019.png,325,171
image_019.png,327,167
image_019.png,40,246
image_019.png,161,413
image_019.png,34,186
image_019.png,164,242
image_019.png,35,194
image_019.png,45,336
image_019.png,443,52
image_019.png,265,202
image_019.png,289,494
image_019.png,464,27
image_019.png,420,298
image_019.png,170,315
image_019.png,58,421
image_019.png,181,371
image_019.png,336,94
image_019.png,368,230
image_019.png,274,273
image_019.png,192,196
image_019.png,204,215
image_019.png,353,312
image_019.png,329,337
image_019.png,174,54
image_019.png,203,151
image_019.png,442,342
image_019.png,314,453
image_019.png,47,304
image_019.png,475,185
image_019.png,341,363
image_019.png,72,310
image_019.png,49,164
image_019.png,335,411
image_019.png,71,349
image_019.png,490,384
image_019.png,473,275
image_019.png,349,222
image_019.png,492,115
image_019.png,357,324
image_025.png,422,173
image_025.png,375,166
image_025.png,87,261
image_025.png,245,261
image_025.png,260,17
image_025.png,207,264
image_025.png,129,116
image_025.png,30,31
image_025.png,311,457
image_025.png,350,246
image_025.png,74,457
image_025.png,193,397
image_025.png,29,211
image_025.png,293,105
image_025.png,153,43
image_025.png,236,397
image_025.png,428,325
image_025.png,66,71
image_025.png,207,197
image_025.png,179,291
image_025.png,392,79
image_025.png,266,211
image_025.png,29,25
image_025.png,176,417
image_025.png,219,197
image_025.png,62,457
image_025.png,268,29
image_025.png,422,184
image_030.png,182,364
image_030.png,36,484
image_030.png,484,247
image_030.png,215,98
image_030.png,398,334
image_030.png,462,201
image_030.png,475,470
image_030.png,47,355
image_030.png,453,282
image_030.png,446,184
image_030.png,281,207
image_030.png,378,120
image_030.png,393,17
image_030.png,243,350
image_030.png,223,278
image_030.png,123,132
image_030.png,85,147
image_030.png,454,377
image_030.png,22,420
image_030.png,320,398
image_030.png,40,57
image_030.png,234,312
image_030.png,452,30
image_030.png,28,211
image_030.png,282,117
image_030.png,403,34
image_030.png,154,125
image_030.png,380,300
image_030.png,312,401
image_030.png,170,127
image_030.png,79,344
image_030.png,231,270
image_030.png,312,413
image_046.png,226,488
image_046.png,316,461
image_046.png,33,57
image_046.png,289,375
image_046.png,282,141
image_046.png,158,127
